,BORO,STORIES,FULLVAL,YEAR,LOT,BLDGCL,AVTOT2,Community_Board,Council_District,Lot_Area,Building_Area,Census_Tract,AVLAND2,EXLAND2,EXTOT2,EXCD2
66319,bor_2,str_1,val_2,yrs_1,lot_2,bcl_C1,transval_2,cmb_205,cds_15,lotarea_1,buildingarea_1,census_3,avland2_2,exland2_1,extot2_3,extot2_3
70003,bor_4,str_1,val_3,yrs_1,lot_1,bcl_D4,transval_3,cmb_402,cds_26,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
9183,bor_1,str_3,val_3,yrs_3,lot_1,bcl_D4,transval_3,cmb_107,cds_7,lotarea_1,buildingarea_1,census_1,avland2_3,exland2_3,extot2_3,extot2_3
16214,bor_1,str_3,val_3,yrs_3,lot_1,bcl_D4,transval_3,cmb_108,cds_5,lotarea_2,buildingarea_2,census_3,avland2_3,exland2_1,extot2_1,extot2_1
37008,bor_4,str_1,val_2,yrs_2,lot_1,bcl_C6,transval_2,cmb_403,cds_21,lotarea_1,buildingarea_1,census_1,avland2_2,exland2_1,extot2_1,extot2_1
63657,bor_1,str_1,val_2,yrs_1,lot_1,bcl_M3,transval_2,cmb_103,cds_2,lotarea_1,buildingarea_1,census_1,avland2_2,exland2_2,extot2_3,extot2_3
8941,bor_1,str_3,val_3,yrs_3,lot_1,bcl_D4,transval_3,cmb_108,cds_5,lotarea_2,buildingarea_1,census_1,avland2_3,exland2_3,extot2_3,extot2_3
35241,bor_3,str_1,val_2,yrs_2,lot_1,bcl_C6,transval_2,cmb_307,cds_38,lotarea_1,buildingarea_1,census_1,avland2_2,exland2_1,extot2_1,extot2_1
28656,bor_3,str_1,val_2,yrs_2,lot_2,bcl_M1,transval_2,cmb_315,cds_48,lotarea_1,buildingarea_1,census_3,avland2_2,exland2_2,extot2_3,extot2_3
13063,bor_4,str_3,val_3,yrs_3,lot_1,bcl_D4,transval_3,cmb_401,cds_22,lotarea_3,buildingarea_1,census_1,avland2_3,exland2_3,extot2_3,extot2_3
9691,bor_2,str_1,val_2,yrs_3,lot_1,bcl_C6,transval_2,cmb_204,cds_8,lotarea_1,buildingarea_1,census_1,avland2_2,exland2_1,extot2_2,extot2_2
65056,bor_1,str_3,val_3,yrs_1,lot_2,bcl_D4,transval_3,cmb_108,cds_4,lotarea_1,buildingarea_1,census_1,avland2_3,exland2_2,extot2_2,extot2_2
13577,bor_4,str_1,val_3,yrs_3,lot_1,bcl_D4,transval_3,cmb_406,cds_29,lotarea_2,buildingarea_2,census_3,avland2_3,exland2_3,extot2_3,extot2_3
22246,bor_4,str_1,val_3,yrs_3,lot_1,bcl_D4,transval_3,cmb_411,cds_19,lotarea_2,buildingarea_2,census_3,avland2_3,exland2_3,extot2_3,extot2_3
21881,bor_4,str_1,val_3,yrs_3,lot_1,bcl_M1,transval_3,cmb_407,cds_20,lotarea_2,buildingarea_1,census_2,avland2_3,exland2_3,extot2_3,extot2_3
