,BORO,STORIES,FULLVAL,YEAR,LOT,BLDGCL,AVTOT2,Community_Board,Council_District,Lot_Area,Building_Area,Census_Tract,AVLAND2,EXLAND2,EXTOT2,EXCD2
51600,bor_2,str_1,val_3,yrs_1,lot_3,bcl_D4,transval_3,cmb_208,cds_11,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_2,extot2_2,extot2_2
49551,bor_1,str_1,val_3,yrs_1,lot_1,bcl_D4,transval_3,cmb_112,cds_7,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
32453,bor_1,str_1,val_2,yrs_2,lot_2,bcl_C6,transval_2,cmb_111,cds_5,lotarea_1,buildingarea_1,census_3,avland2_2,exland2_1,extot2_2,extot2_2
66011,bor_2,str_1,val_2,yrs_1,lot_1,bcl_M1,transval_2,cmb_204,cds_16,lotarea_1,buildingarea_1,census_1,avland2_2,exland2_1,extot2_3,extot2_3
28625,bor_3,str_1,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_315,cds_48,lotarea_3,buildingarea_3,census_1,avland2_3,exland2_3,extot2_3,extot2_3
20795,bor_4,str_1,val_3,yrs_3,lot_1,bcl_D4,transval_3,cmb_402,cds_26,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_2,extot2_2,extot2_2
49618,bor_2,str_1,val_3,yrs_1,lot_1,bcl_D4,transval_3,cmb_205,cds_15,lotarea_1,buildingarea_1,census_3,avland2_2,exland2_1,extot2_3,extot2_3
24859,bor_1,str_3,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_108,cds_5,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
46244,bor_4,str_1,val_2,yrs_2,lot_1,bcl_C6,transval_2,cmb_408,cds_24,lotarea_2,buildingarea_2,census_3,avland2_3,exland2_1,extot2_1,extot2_1
11239,bor_2,str_1,val_3,yrs_3,lot_2,bcl_D4,transval_3,cmb_208,cds_11,lotarea_2,buildingarea_2,census_3,avland2_3,exland2_1,extot2_1,extot2_1
27576,bor_3,str_1,val_2,yrs_2,lot_3,bcl_R2,transval_2,cmb_302,cds_35,lotarea_1,buildingarea_1,census_1,avland2_2,exland2_1,extot2_1,extot2_1
66323,bor_2,str_1,val_2,yrs_1,lot_1,bcl_C1,transval_2,cmb_206,cds_17,lotarea_1,buildingarea_1,census_1,avland2_2,exland2_1,extot2_2,extot2_2
11796,bor_3,str_1,val_1,yrs_3,lot_2,bcl_R2,transval_1,cmb_303,cds_41,lotarea_1,buildingarea_1,census_1,avland2_1,exland2_1,extot2_1,extot2_1
42664,bor_2,str_1,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_211,cds_13,lotarea_2,buildingarea_2,census_3,avland2_2,exland2_2,extot2_2,extot2_2
64850,bor_1,str_3,val_3,yrs_1,lot_1,bcl_O3,transval_3,cmb_105,cds_4,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
9705,bor_1,str_1,val_3,yrs_3,lot_2,bcl_D4,transval_3,cmb_109,cds_7,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
42961,bor_2,str_3,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_211,cds_15,lotarea_3,buildingarea_2,census_3,avland2_3,exland2_3,extot2_3,extot2_3
27498,bor_3,str_1,val_2,yrs_2,lot_1,bcl_C6,transval_2,cmb_309,cds_35,lotarea_1,buildingarea_1,census_1,avland2_2,exland2_1,extot2_1,extot2_1
36989,bor_4,str_1,val_2,yrs_2,lot_1,bcl_D4,transval_2,cmb_404,cds_25,lotarea_1,buildingarea_1,census_1,avland2_2,exland2_1,extot2_1,extot2_1
61351,bor_3,str_1,val_2,yrs_1,lot_1,bcl_M3,transval_2,cmb_312,cds_44,lotarea_1,buildingarea_1,census_1,avland2_3,exland2_3,extot2_3,extot2_3
13450,bor_4,str_2,val_3,yrs_3,lot_1,bcl_D4,transval_3,cmb_406,cds_29,lotarea_2,buildingarea_2,census_3,avland2_3,exland2_3,extot2_3,extot2_3
56358,bor_1,str_3,val_3,yrs_1,lot_1,bcl_D4,transval_3,cmb_106,cds_5,lotarea_1,buildingarea_1,census_3,avland2_3,exland2_3,extot2_3,extot2_3
51928,bor_3,str_1,val_2,yrs_1,lot_2,bcl_R2,transval_2,cmb_306,cds_39,lotarea_2,buildingarea_1,census_1,avland2_2,exland2_1,extot2_1,extot2_1
13546,bor_4,str_1,val_3,yrs_3,lot_1,bcl_D4,transval_3,cmb_406,cds_29,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
52614,bor_3,str_1,val_2,yrs_1,lot_1,bcl_C6,transval_2,cmb_301,cds_34,lotarea_1,buildingarea_1,census_1,avland2_2,exland2_1,extot2_3,extot2_3
70829,bor_4,str_1,val_3,yrs_1,lot_2,bcl_D4,transval_3,cmb_407,cds_20,lotarea_2,buildingarea_2,census_2,avland2_3,exland2_3,extot2_3,extot2_3
23969,bor_1,str_3,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_106,cds_4,lotarea_1,buildingarea_1,census_3,avland2_3,exland2_2,extot2_2,extot2_2
33311,bor_1,str_1,val_2,yrs_2,lot_1,bcl_C6,transval_2,cmb_112,cds_10,lotarea_1,buildingarea_1,census_1,avland2_2,exland2_1,extot2_3,extot2_3
53618,bor_4,str_1,val_3,yrs_1,lot_1,bcl_D4,transval_3,cmb_403,cds_21,lotarea_3,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
14267,bor_4,str_1,val_3,yrs_3,lot_2,bcl_D4,transval_3,cmb_408,cds_24,lotarea_2,buildingarea_2,census_3,avland2_3,exland2_1,extot2_1,extot2_1
62574,bor_4,str_1,val_2,yrs_1,lot_1,bcl_C6,transval_3,cmb_411,cds_19,lotarea_2,buildingarea_2,census_2,avland2_3,exland2_1,extot2_1,extot2_1
40401,bor_1,str_3,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_108,cds_5,lotarea_2,buildingarea_2,census_3,avland2_3,exland2_3,extot2_3,extot2_3
48155,bor_1,str_2,val_3,yrs_1,lot_1,bcl_D4,transval_3,cmb_107,cds_6,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
35562,bor_3,str_1,val_1,yrs_2,lot_2,bcl_R2,transval_1,cmb_303,cds_41,lotarea_1,buildingarea_1,census_1,avland2_1,exland2_1,extot2_1,extot2_1
70855,bor_4,str_1,val_2,yrs_1,lot_1,bcl_C6,transval_2,cmb_407,cds_19,lotarea_1,buildingarea_1,census_2,avland2_2,exland2_1,extot2_1,extot2_1
63900,bor_1,str_1,val_2,yrs_1,lot_1,bcl_C6,transval_2,cmb_104,cds_3,lotarea_1,buildingarea_1,census_1,avland2_3,exland2_3,extot2_3,extot2_3
70314,bor_4,str_1,val_3,yrs_1,lot_1,bcl_D4,transval_3,cmb_406,cds_29,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
57740,bor_1,str_1,val_3,yrs_1,lot_1,bcl_D4,transval_3,cmb_112,cds_10,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
36254,bor_3,str_1,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_310,cds_43,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
27414,bor_3,str_1,val_2,yrs_2,lot_2,bcl_R2,transval_2,cmb_316,cds_41,lotarea_1,buildingarea_1,census_1,avland2_1,exland2_1,extot2_1,extot2_1
20100,bor_3,str_1,val_2,yrs_3,lot_1,bcl_M1,transval_2,cmb_312,cds_44,lotarea_1,buildingarea_1,census_1,avland2_2,exland2_2,extot2_3,extot2_3
5652,bor_3,str_1,val_3,yrs_3,lot_1,bcl_D4,transval_3,cmb_315,cds_46,lotarea_3,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
36344,bor_3,str_1,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_314,cds_45,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
1744,bor_1,str_1,val_3,yrs_3,lot_1,bcl_C6,transval_3,cmb_108,cds_5,lotarea_1,buildingarea_1,census_1,avland2_2,exland2_1,extot2_1,extot2_1
178,bor_1,str_2,val_3,yrs_3,lot_1,bcl_D4,transval_3,cmb_102,cds_2,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_2,extot2_2,extot2_2
367,bor_1,str_2,val_3,yrs_3,lot_1,bcl_D0,transval_3,cmb_105,cds_4,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
39803,bor_1,str_3,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_107,cds_6,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
16223,bor_1,str_3,val_3,yrs_3,lot_1,bcl_D4,transval_3,cmb_108,cds_4,lotarea_2,buildingarea_2,census_3,avland2_3,exland2_3,extot2_3,extot2_3
23169,bor_1,str_1,val_3,yrs_2,lot_1,bcl_D0,transval_3,cmb_104,cds_3,lotarea_1,buildingarea_1,census_1,avland2_3,exland2_1,extot2_1,extot2_1
60210,bor_3,str_2,val_3,yrs_1,lot_2,bcl_D4,transval_3,cmb_302,cds_33,lotarea_1,buildingarea_1,census_1,avland2_3,exland2_1,extot2_1,extot2_1
15852,bor_1,str_3,val_3,yrs_3,lot_1,bcl_D4,transval_3,cmb_108,cds_4,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
65309,bor_1,str_3,val_3,yrs_1,lot_2,bcl_D4,transval_3,cmb_108,cds_4,lotarea_2,buildingarea_2,census_3,avland2_3,exland2_3,extot2_3,extot2_3
68838,bor_3,str_2,val_3,yrs_1,lot_1,bcl_D4,transval_3,cmb_308,cds_35,lotarea_2,buildingarea_1,census_1,avland2_2,exland2_2,extot2_2,extot2_2
857,bor_1,str_1,val_3,yrs_3,lot_1,bcl_C6,transval_3,cmb_104,cds_3,lotarea_1,buildingarea_1,census_1,avland2_3,exland2_3,extot2_3,extot2_3
15453,bor_1,str_3,val_3,yrs_3,lot_1,bcl_D4,transval_3,cmb_107,cds_3,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
39670,bor_1,str_3,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_107,cds_6,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_2,extot2_2,extot2_2
12109,bor_3,str_1,val_3,yrs_3,lot_1,bcl_D4,transval_3,cmb_301,cds_33,lotarea_2,buildingarea_2,census_1,avland2_2,exland2_2,extot2_2,extot2_2
36722,bor_4,str_1,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_402,cds_26,lotarea_1,buildingarea_1,census_3,avland2_3,exland2_3,extot2_3,extot2_3
23810,bor_1,str_1,val_3,yrs_2,lot_2,bcl_D4,transval_3,cmb_107,cds_6,lotarea_2,buildingarea_1,census_1,avland2_3,exland2_2,extot2_2,extot2_2
9657,bor_1,str_1,val_2,yrs_3,lot_1,bcl_D4,transval_2,cmb_109,cds_7,lotarea_1,buildingarea_1,census_3,avland2_2,exland2_1,extot2_1,extot2_1
54176,bor_4,str_1,val_3,yrs_1,lot_1,bcl_D4,transval_3,cmb_407,cds_20,lotarea_2,buildingarea_1,census_2,avland2_3,exland2_1,extot2_1,extot2_1
56594,bor_1,str_3,val_3,yrs_1,lot_1,bcl_D4,transval_3,cmb_106,cds_5,lotarea_1,buildingarea_1,census_3,avland2_3,exland2_1,extot2_1,extot2_1
47661,bor_1,str_2,val_3,yrs_1,lot_1,bcl_D4,transval_3,cmb_107,cds_6,lotarea_1,buildingarea_1,census_1,avland2_3,exland2_2,extot2_2,extot2_2
26748,bor_2,str_3,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_212,cds_12,lotarea_3,buildingarea_2,census_3,avland2_3,exland2_3,extot2_3,extot2_3
48282,bor_1,str_3,val_3,yrs_1,lot_1,bcl_D4,transval_3,cmb_106,cds_4,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
30404,bor_4,str_1,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_414,cds_32,lotarea_2,buildingarea_2,census_3,avland2_3,exland2_1,extot2_1,extot2_1
21087,bor_4,str_1,val_3,yrs_3,lot_1,bcl_C6,transval_3,cmb_402,cds_26,lotarea_1,buildingarea_1,census_1,avland2_3,exland2_2,extot2_2,extot2_2
7859,bor_1,str_2,val_3,yrs_3,lot_1,bcl_D4,transval_3,cmb_106,cds_2,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
23707,bor_1,str_3,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_106,cds_4,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
26773,bor_2,str_1,val_3,yrs_2,lot_2,bcl_D4,transval_3,cmb_208,cds_11,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_2,extot2_2,extot2_2
12179,bor_3,str_1,val_2,yrs_3,lot_1,bcl_M3,transval_2,cmb_305,cds_42,lotarea_1,buildingarea_1,census_2,avland2_2,exland2_2,extot2_3,extot2_3
61396,bor_3,str_1,val_3,yrs_1,lot_1,bcl_D4,transval_3,cmb_314,cds_45,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
45856,bor_4,str_1,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_407,cds_20,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
43399,bor_3,str_1,val_2,yrs_2,lot_2,bcl_R2,transval_2,cmb_306,cds_39,lotarea_2,buildingarea_1,census_1,avland2_2,exland2_1,extot2_1,extot2_1
32675,bor_1,str_3,val_3,yrs_2,lot_2,bcl_D4,transval_3,cmb_108,cds_4,lotarea_1,buildingarea_1,census_3,avland2_3,exland2_2,extot2_2,extot2_2
57581,bor_1,str_1,val_3,yrs_1,lot_2,bcl_D4,transval_3,cmb_112,cds_10,lotarea_1,buildingarea_1,census_1,avland2_3,exland2_2,extot2_2,extot2_2
69700,bor_3,str_1,val_3,yrs_1,lot_1,bcl_D4,transval_3,cmb_315,cds_48,lotarea_2,buildingarea_1,census_3,avland2_3,exland2_2,extot2_2,extot2_2
45035,bor_4,str_1,val_3,yrs_2,lot_1,bcl_F1,transval_3,cmb_402,cds_26,lotarea_3,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
28270,bor_3,str_1,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_314,cds_45,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
47446,bor_1,str_3,val_3,yrs_1,lot_1,bcl_D4,transval_3,cmb_106,cds_2,lotarea_2,buildingarea_1,census_1,avland2_3,exland2_3,extot2_3,extot2_3
7869,bor_1,str_3,val_3,yrs_3,lot_1,bcl_D4,transval_3,cmb_105,cds_4,lotarea_1,buildingarea_1,census_1,avland2_3,exland2_3,extot2_3,extot2_3
28995,bor_4,str_1,val_2,yrs_2,lot_1,bcl_C6,transval_2,cmb_403,cds_25,lotarea_1,buildingarea_1,census_1,avland2_2,exland2_2,extot2_2,extot2_2
43910,bor_3,str_1,val_1,yrs_2,lot_2,bcl_R2,transval_1,cmb_316,cds_41,lotarea_1,buildingarea_1,census_1,avland2_1,exland2_1,extot2_1,extot2_1
62233,bor_4,str_1,val_3,yrs_1,lot_1,bcl_D4,transval_3,cmb_406,cds_29,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
61953,bor_4,str_1,val_3,yrs_1,lot_1,bcl_D4,transval_3,cmb_404,cds_25,lotarea_3,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
20804,bor_4,str_1,val_3,yrs_3,lot_1,bcl_E9,transval_2,cmb_402,cds_26,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
13592,bor_4,str_1,val_2,yrs_3,lot_1,bcl_C6,transval_2,cmb_409,cds_29,lotarea_1,buildingarea_1,census_1,avland2_2,exland2_1,extot2_1,extot2_1
7615,bor_1,str_1,val_3,yrs_3,lot_2,bcl_D4,transval_3,cmb_104,cds_3,lotarea_1,buildingarea_1,census_1,avland2_3,exland2_3,extot2_3,extot2_3
9809,bor_2,str_1,val_2,yrs_3,lot_1,bcl_M1,transval_2,cmb_204,cds_15,lotarea_1,buildingarea_1,census_3,avland2_2,exland2_1,extot2_3,extot2_3
53762,bor_4,str_1,val_3,yrs_1,lot_1,bcl_D4,transval_3,cmb_406,cds_29,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
7370,bor_1,str_1,val_3,yrs_3,lot_1,bcl_C6,transval_3,cmb_101,cds_1,lotarea_1,buildingarea_1,census_1,avland2_3,exland2_2,extot2_2,extot2_2
8685,bor_1,str_3,val_3,yrs_3,lot_1,bcl_D4,transval_3,cmb_108,cds_4,lotarea_3,buildingarea_3,census_1,avland2_3,exland2_3,extot2_3,extot2_3
28242,bor_3,str_1,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_315,cds_48,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_2,extot2_2,extot2_2
40002,bor_1,str_2,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_108,cds_4,lotarea_2,buildingarea_1,census_1,avland2_3,exland2_1,extot2_1,extot2_1
38926,bor_1,str_2,val_3,yrs_2,lot_2,bcl_D4,transval_3,cmb_102,cds_3,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
40449,bor_1,str_3,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_108,cds_4,lotarea_2,buildingarea_1,census_3,avland2_3,exland2_3,extot2_3,extot2_3
16240,bor_1,str_3,val_3,yrs_3,lot_1,bcl_D4,transval_3,cmb_108,cds_4,lotarea_2,buildingarea_2,census_3,avland2_3,exland2_2,extot2_2,extot2_2
54541,bor_4,str_1,val_3,yrs_1,lot_1,bcl_C6,transval_3,cmb_411,cds_23,lotarea_3,buildingarea_1,census_3,avland2_3,exland2_3,extot2_3,extot2_3
22524,bor_4,str_1,val_3,yrs_3,lot_1,bcl_D4,transval_3,cmb_414,cds_32,lotarea_1,buildingarea_1,census_3,avland2_2,exland2_1,extot2_1,extot2_1
40140,bor_1,str_2,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_108,cds_4,lotarea_2,buildingarea_1,census_1,avland2_3,exland2_2,extot2_2,extot2_2
38920,bor_1,str_1,val_3,yrs_2,lot_1,bcl_C6,transval_3,cmb_102,cds_3,lotarea_1,buildingarea_1,census_1,avland2_3,exland2_3,extot2_3,extot2_3
38434,bor_5,str_1,val_1,yrs_2,lot_2,bcl_R2,transval_1,cmb_501,cds_49,lotarea_1,buildingarea_1,census_1,avland2_1,exland2_1,extot2_1,extot2_1
27372,bor_3,str_1,val_3,yrs_2,lot_1,bcl_C6,transval_2,cmb_306,cds_39,lotarea_1,buildingarea_1,census_1,avland2_2,exland2_1,extot2_1,extot2_1
49777,bor_2,str_1,val_3,yrs_1,lot_2,bcl_D4,transval_3,cmb_207,cds_14,lotarea_3,buildingarea_3,census_1,avland2_3,exland2_3,extot2_3,extot2_3
35094,bor_3,str_1,val_2,yrs_2,lot_2,bcl_R2,transval_2,cmb_306,cds_39,lotarea_2,buildingarea_2,census_1,avland2_2,exland2_1,extot2_2,extot2_2
32276,bor_1,str_2,val_3,yrs_2,lot_2,bcl_D4,transval_3,cmb_108,cds_4,lotarea_1,buildingarea_1,census_3,avland2_3,exland2_1,extot2_1,extot2_1
70787,bor_4,str_1,val_3,yrs_1,lot_1,bcl_D4,transval_3,cmb_407,cds_20,lotarea_2,buildingarea_2,census_2,avland2_3,exland2_3,extot2_3,extot2_3
18894,bor_2,str_1,val_3,yrs_3,lot_2,bcl_D4,transval_3,cmb_208,cds_11,lotarea_2,buildingarea_2,census_3,avland2_3,exland2_2,extot2_2,extot2_2
23041,bor_1,str_1,val_3,yrs_2,lot_2,bcl_C6,transval_3,cmb_102,cds_3,lotarea_1,buildingarea_1,census_1,avland2_3,exland2_1,extot2_1,extot2_1
23557,bor_1,str_2,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_107,cds_6,lotarea_1,buildingarea_1,census_1,avland2_3,exland2_1,extot2_1,extot2_1
29096,bor_4,str_1,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_404,cds_25,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_2,extot2_2,extot2_2
33433,bor_2,str_1,val_2,yrs_2,lot_1,bcl_D1,transval_2,cmb_206,cds_17,lotarea_1,buildingarea_1,census_1,avland2_2,exland2_1,extot2_3,extot2_3
22728,bor_1,str_3,val_3,yrs_2,lot_2,bcl_D8,transval_3,cmb_101,cds_1,lotarea_2,buildingarea_2,census_3,avland2_3,exland2_3,extot2_3,extot2_3
45950,bor_4,str_1,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_407,cds_20,lotarea_3,buildingarea_3,census_1,avland2_3,exland2_3,extot2_3,extot2_3
28166,bor_3,str_1,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_310,cds_43,lotarea_2,buildingarea_2,census_2,avland2_3,exland2_3,extot2_3,extot2_3
32292,bor_1,str_2,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_108,cds_4,lotarea_1,buildingarea_1,census_3,avland2_3,exland2_3,extot2_3,extot2_3
60676,bor_3,str_1,val_2,yrs_1,lot_1,bcl_C6,transval_2,cmb_308,cds_41,lotarea_1,buildingarea_1,census_1,avland2_2,exland2_1,extot2_3,extot2_3
24052,bor_1,str_3,val_3,yrs_2,lot_2,bcl_D4,transval_3,cmb_108,cds_4,lotarea_2,buildingarea_1,census_1,avland2_3,exland2_2,extot2_2,extot2_2
37085,bor_4,str_1,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_406,cds_29,lotarea_2,buildingarea_2,census_3,avland2_3,exland2_3,extot2_3,extot2_3
32992,bor_1,str_1,val_2,yrs_2,lot_1,bcl_C6,transval_2,cmb_109,cds_7,lotarea_1,buildingarea_1,census_3,avland2_2,exland2_1,extot2_2,extot2_2
54556,bor_4,str_3,val_3,yrs_1,lot_1,bcl_D4,transval_3,cmb_411,cds_19,lotarea_3,buildingarea_3,census_2,avland2_3,exland2_3,extot2_3,extot2_3
4956,bor_3,str_1,val_2,yrs_3,lot_1,bcl_M9,transval_2,cmb_312,cds_44,lotarea_1,buildingarea_1,census_1,avland2_2,exland2_1,extot2_3,extot2_3
12021,bor_3,str_1,val_2,yrs_3,lot_1,bcl_C6,transval_2,cmb_301,cds_34,lotarea_1,buildingarea_1,census_1,avland2_2,exland2_2,extot2_3,extot2_3
16987,bor_1,str_1,val_3,yrs_3,lot_1,bcl_D4,transval_3,cmb_107,cds_7,lotarea_1,buildingarea_1,census_1,avland2_3,exland2_2,extot2_2,extot2_2
23591,bor_1,str_3,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_107,cds_6,lotarea_2,buildingarea_1,census_1,avland2_3,exland2_3,extot2_3,extot2_3
45605,bor_4,str_2,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_406,cds_29,lotarea_2,buildingarea_2,census_3,avland2_3,exland2_3,extot2_3,extot2_3
22718,bor_1,str_3,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_101,cds_1,lotarea_1,buildingarea_1,census_2,avland2_3,exland2_2,extot2_2,extot2_2
16890,bor_1,str_3,val_3,yrs_3,lot_1,bcl_D4,transval_3,cmb_107,cds_7,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
5494,bor_3,str_1,val_3,yrs_3,lot_2,bcl_D4,transval_3,cmb_315,cds_48,lotarea_2,buildingarea_2,census_3,avland2_3,exland2_3,extot2_3,extot2_3
45080,bor_4,str_1,val_2,yrs_2,lot_1,bcl_P5,transval_3,cmb_401,cds_26,lotarea_1,buildingarea_1,census_1,avland2_3,exland2_3,extot2_3,extot2_3
61251,bor_3,str_1,val_1,yrs_1,lot_2,bcl_R4,transval_1,cmb_312,cds_44,lotarea_1,buildingarea_1,census_1,avland2_1,exland2_1,extot2_1,extot2_1
7430,bor_1,str_1,val_3,yrs_3,lot_1,bcl_C6,transval_3,cmb_103,cds_2,lotarea_1,buildingarea_1,census_1,avland2_3,exland2_3,extot2_3,extot2_3
61663,bor_3,str_1,val_3,yrs_1,lot_2,bcl_D4,transval_3,cmb_313,cds_48,lotarea_3,buildingarea_2,census_3,avland2_3,exland2_2,extot2_2,extot2_2
28112,bor_3,str_1,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_310,cds_43,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
18938,bor_2,str_2,val_3,yrs_3,lot_2,bcl_D4,transval_3,cmb_208,cds_11,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_2,extot2_2,extot2_2
22151,bor_4,str_1,val_3,yrs_3,lot_1,bcl_C6,transval_3,cmb_408,cds_24,lotarea_3,buildingarea_1,census_3,avland2_3,exland2_3,extot2_3,extot2_3
15856,bor_1,str_3,val_3,yrs_3,lot_2,bcl_D4,transval_3,cmb_108,cds_4,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
63995,bor_1,str_1,val_3,yrs_1,lot_1,bcl_C6,transval_3,cmb_102,cds_3,lotarea_1,buildingarea_1,census_1,avland2_3,exland2_1,extot2_1,extot2_1
11370,bor_2,str_3,val_3,yrs_3,lot_1,bcl_D4,transval_3,cmb_208,cds_11,lotarea_3,buildingarea_2,census_3,avland2_3,exland2_3,extot2_3,extot2_3
4045,bor_2,str_1,val_3,yrs_3,lot_1,bcl_D4,transval_3,cmb_208,cds_11,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_2,extot2_2,extot2_2
20893,bor_4,str_1,val_3,yrs_3,lot_1,bcl_D4,transval_3,cmb_402,cds_26,lotarea_2,buildingarea_2,census_3,avland2_3,exland2_1,extot2_1,extot2_1
14230,bor_4,str_1,val_3,yrs_3,lot_2,bcl_D4,transval_3,cmb_409,cds_29,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_2,extot2_2,extot2_2
39444,bor_1,str_1,val_2,yrs_2,lot_1,bcl_C6,transval_2,cmb_104,cds_3,lotarea_1,buildingarea_1,census_1,avland2_3,exland2_3,extot2_3,extot2_3
20993,bor_4,str_1,val_3,yrs_3,lot_2,bcl_C6,transval_3,cmb_402,cds_26,lotarea_3,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
37240,bor_4,str_1,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_406,cds_29,lotarea_2,buildingarea_2,census_3,avland2_3,exland2_3,extot2_3,extot2_3
4339,bor_3,str_1,val_1,yrs_3,lot_2,bcl_R2,transval_1,cmb_316,cds_37,lotarea_1,buildingarea_1,census_1,avland2_1,exland2_1,extot2_1,extot2_1
23803,bor_1,str_3,val_3,yrs_2,lot_1,bcl_D4,transval_3,cmb_107,cds_6,lotarea_1,buildingarea_1,census_1,avland2_3,exland2_2,extot2_2,extot2_2
25425,bor_2,str_1,val_2,yrs_2,lot_1,bcl_C6,transval_2,cmb_205,cds_14,lotarea_1,buildingarea_1,census_3,avland2_2,exland2_1,extot2_2,extot2_2
21863,bor_4,str_1,val_3,yrs_3,lot_1,bcl_D4,transval_3,cmb_407,cds_20,lotarea_2,buildingarea_2,census_1,avland2_3,exland2_3,extot2_3,extot2_3
